"Rank","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
287,"Herbert Jones","PF",23,"NOP",56,47,29.9,3.6,7.2,0.499,0.7,1.9,0.358,2.9,5.3,0.548,0.546,1.7,2,0.855,1.3,2.6,3.9,2.1,1.4,0.9,1.3,3.1,9.6,-0.6
84,"Alec Burks","SG",30,"NYK",58,21,26.6,3.3,8.6,0.379,1.7,4.4,0.385,1.6,4.2,0.372,0.478,2.7,3.3,0.822,0.6,3.8,4.4,2.7,1.1,0.3,1,2.4,10.9,0.5
17,"Trevor Ariza","SF",36,"LAL",20,8,19.3,1.3,3.7,0.351,1,3.1,0.328,0.3,0.7,0.462,0.486,0.4,0.7,0.5,0.3,3.1,3.4,1.2,0.5,0.2,0.5,0.9,4,-2.9
535,"Karl-Anthony Towns","C",26,"MIN",52,52,34.3,8.7,16.7,0.522,2.1,5.2,0.409,6.6,11.5,0.574,0.586,4.9,5.9,0.819,2.8,6.9,9.7,4,1,1.1,3.3,3.6,24.4,5.2
320,"Saben Lee","PG",22,"DET",28,0,14.5,1.6,4.4,0.377,0.4,1.6,0.273,1.2,2.8,0.436,0.426,1.2,1.5,0.767,0.4,2,2.4,2.3,0.9,0.4,0.9,0.9,4.9,0.2
494,"Anfernee Simons","SG",22,"POR",53,26,29.3,6.2,13.8,0.447,3.1,7.6,0.4,3.1,6.1,0.505,0.558,1.6,1.8,0.885,0.5,2.2,2.7,3.9,0.5,0.1,1.9,1.9,17,-0.4
105,"Jordan Clarkson","SG",29,"UTA",55,1,26.4,5.6,13.9,0.403,2.5,7.9,0.32,3.1,6,0.514,0.494,1.7,2.1,0.832,0.8,2.6,3.3,2.4,0.7,0.2,1.6,1.9,15.5,-0.9
147,"Goran Dragić","PG",35,"TOR",5,2,18,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4,0.45,0.441,2,2,1,0.4,2.4,2.8,1.8,1,0.2,0.2,1.6,8,1.9
184,"Taj Gibson","C",36,"NYK",39,4,18.3,1.5,2.9,0.526,0.2,0.6,0.364,1.3,2.4,0.565,0.561,0.6,0.8,0.758,1.6,2.8,4.5,0.6,0.4,0.8,0.6,2.8,3.9,-2.9
457,"Jahmi'us Ramsey","SG",20,"SAC",19,0,7.1,1.3,3.1,0.414,0.3,0.9,0.278,1,2.1,0.475,0.457,0.4,0.7,0.5,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2,-6.9
249,"Kevin Huerter","SG",23,"ATL",51,37,29,4.5,9.8,0.462,1.9,5.1,0.377,2.6,4.7,0.554,0.56,0.6,0.7,0.811,0.4,2.7,3.2,2.8,0.6,0.4,1.3,2.3,11.6,-1.5
302,"Maxi Kleber","PF",30,"DAL",42,20,25.3,2.7,6.2,0.435,1.7,4.5,0.372,1,1.6,0.609,0.571,0.9,1.1,0.771,1.3,4.7,6,1.1,0.5,1,0.7,2.3,8,1
523,"Cam Thomas","SG",20,"BRK",48,2,19.6,3.8,8.6,0.445,0.9,3.1,0.273,3,5.4,0.544,0.495,1.3,1.6,0.808,0.2,2.4,2.6,1.3,0.5,0.1,0.8,1,9.8,-2.7
277,"James Johnson","PF",34,"BRK",43,6,19.3,2.6,5.3,0.487,0.3,1.3,0.255,2.3,4,0.561,0.518,0.4,0.9,0.474,1,2.6,3.6,2,0.5,0.3,0.8,2.5,5.9,-2.6
170,"Evan Fournier","SG",29,"NYK",57,57,29.5,5.2,12.3,0.424,3,7.6,0.394,2.2,4.8,0.471,0.545,1.1,1.5,0.723,0.5,2.4,2.9,1.9,1,0.3,1.4,2.1,14.5,-0.8
151,"Kevin Durant","PF",33,"BRK",36,36,36.5,10.5,20.3,0.52,1.9,5,0.372,8.7,15.3,0.568,0.566,6.3,7.1,0.894,0.6,6.9,7.4,5.8,0.8,0.9,3,1.9,29.3,7.4
527,"Tristan Thompson","PF",30,"TOT",34,3,15.3,2.6,5.1,0.509,0,0,1,2.6,5.1,0.506,0.511,1,2,0.515,2.3,2.9,5.3,0.6,0.3,0.4,1,1.7,6.3,-4
489,"Landry Shamet","SG",24,"PHO",45,7,19.8,2.4,6.4,0.37,1.6,4.5,0.353,0.8,2,0.409,0.493,1,1.2,0.852,0.2,1.7,1.9,1.6,0.5,0.1,0.5,1.2,7.4,-1
386,"Markieff Morris","PF",32,"MIA",10,0,18.7,3.2,7,0.457,0.8,2.2,0.364,2.4,4.8,0.5,0.514,0.5,0.5,1,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7,-1.7
328,"Kevon Looney","C",25,"GSW",59,59,21.4,2.6,4.8,0.548,0,0,0,2.6,4.7,0.55,0.548,1.1,1.7,0.631,2.7,4.8,7.6,1.7,0.6,0.7,0.9,2.7,6.3,0
404,"Nerlens Noel","C",27,"NYK",25,11,22.5,1.3,2.4,0.533,0,0.1,0,1.3,2.3,0.561,0.533,0.8,1.2,0.7,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4,0.1
402,"Daishen Nix","SG",19,"HOU",8,0,8.4,1.6,2.5,0.65,0.4,0.9,0.429,1.3,1.6,0.769,0.725,0.1,0.4,0.333,0.1,1.1,1.3,1.3,0.9,0,1.1,0.4,3.8,1.2
393,"Mike Muscala","C",30,"OKC",43,0,13.8,2.6,5.8,0.456,1.6,3.8,0.429,1,2,0.506,0.597,1.1,1.3,0.842,0.5,2.5,3,0.5,0.4,0.6,0.3,1.3,8,5.1
