Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
413,Josh Okogie,SG,23,MIN,33,6,12.4,0.8,2.3,0.347,0.3,1.1,0.278,0.5,1.2,0.41,0.413,0.7,1.1,0.622,0.8,1.1,1.8,0.5,0.5,0.3,0.5,1.2,2.6,-3.8
414,Onyeka Okongwu,C,21,ATL,26,6,21.5,3.5,4.9,0.719,0,0,,3.5,4.9,0.719,0.719,1.6,2.2,0.732,2.2,3.3,5.5,1.1,0.7,1.4,1.2,3.2,8.7,0.6
415,Isaac Okoro,SF,21,CLE,43,37,28.8,3.2,6.8,0.464,0.8,2.7,0.316,2.3,4.2,0.559,0.526,1.8,2.3,0.778,1,2.1,3.1,1.9,0.8,0.3,1,2.6,9,-1.7
416,KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,1,2,0.488,0.5,0.4,0.5,0.727,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,3.7,-2.7
417,Cameron Oliver,SF,25,ATL,2,0,21.5,5,7.5,0.667,0.5,1.5,0.333,4.5,6,0.75,0.7,1,1.5,0.667,1,2,3,1.5,0.5,0.5,0,2.5,11.5,1.9
418,Kelly Olynyk,C,30,DET,21,1,20,3.5,8.6,0.403,1,3.5,0.297,2.4,5.1,0.477,0.464,1.7,2.4,0.686,1.6,3.3,4.9,2.8,0.9,0.5,1.7,2.4,9.7,-0.1
419,Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,1,0.5,0.5,1.3,1.8,0.5,0,0,0,0.5,1.8,4.2
420,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3,-7.8
421,Cedi Osman,SF,26,CLE,46,3,23,3.8,9.1,0.42,2,5.7,0.356,1.8,3.4,0.526,0.531,1.2,1.9,0.64,0.4,1.9,2.3,2,0.9,0.2,0.9,1.9,10.8,0.4
422,Daniel Oturu,C,22,TOR,3,0,9,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,1,1.7,0.6,0.3,1.3,1.7,0,0,0.7,0,0.3,3,-5.4
423,Kelly Oubre Jr.,SF,26,CHO,54,13,28.5,5.9,13.5,0.435,2.7,8,0.34,3.2,5.6,0.571,0.535,1.7,2.6,0.676,1.2,2.9,4.1,1.1,1.2,0.4,1,2.6,16.2,-1.5
424,Jaysean Paige,PG,27,DET,1,0,7,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,1,0,0,1,2,0,-31.7
425,Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,0,0,1,2,0,-15.5
426,Kevin Pangos,PG,29,CLE,24,3,6.9,0.6,1.9,0.326,0.3,1.1,0.231,0.4,0.8,0.45,0.391,0.1,0.2,0.75,0.1,0.4,0.5,1.3,0.1,0,0.3,0.5,1.6,-5.9
427,Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,0.5
428,Eric Paschall,PF,25,UTA,44,1,13.3,2,4.1,0.486,0.8,2,0.378,1.2,2,0.596,0.581,1.1,1.5,0.758,0.6,1.5,2.1,0.6,0.2,0.1,0.6,1,5.9,-0.8
429,Chris Paul,PG,36,PHO,58,58,33,5.6,11.5,0.487,1,3.1,0.33,4.6,8.4,0.546,0.532,2.7,3.2,0.843,0.3,4.2,4.5,10.7,1.9,0.3,2.4,2,14.9,5.3
430,Cameron Payne,PG,27,PHO,40,0,20.4,4,9.8,0.404,1.1,3.4,0.336,2.8,6.4,0.44,0.462,1.4,1.7,0.864,0.4,2.4,2.8,3.6,0.6,0.3,1.8,1.9,10.5,-0.9
431,Elfrid Payton,PG,27,PHO,38,0,11.7,1.5,3.7,0.394,0.1,0.4,0.286,1.4,3.4,0.406,0.408,0.3,0.7,0.393,0.5,1.5,2,2.2,0.5,0.1,1,0.9,3.3,-2.9
432,Gary Payton II,PG,29,GSW,56,10,16.6,2.8,4.6,0.619,0.6,1.7,0.362,2.2,2.9,0.767,0.685,0.5,0.9,0.58,1,2.5,3.5,0.8,1.4,0.3,0.5,1.6,6.8,4.6
433,Norvel Pelle,C,28,UTA,3,0,6.3,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0,0,,1,1,2,0,0,0.3,0.7,0.3,2,-7
434,Reggie Perry,PF,21,TOT,3,0,17,1.7,3.3,0.5,0.3,0.7,0.5,1.3,2.7,0.5,0.55,0.7,0.7,1,0.7,2,2.7,0.7,0.3,0,0.3,3,4.3,-6.8
435,Jamorko Pickett,PF,24,DET,6,0,7.8,0.2,1.7,0.1,0.2,1.2,0.143,0,0.5,0,0.15,0,0,,0.3,1.2,1.5,0.2,0,0.2,0.5,0.5,0.5,-13.6
436,Theo Pinson,SF,26,DAL,16,0,7.5,0.6,2,0.281,0.4,1.6,0.24,0.2,0.4,0.429,0.375,0.3,0.3,1,0.1,1.1,1.2,0.8,0.3,0.1,0.1,0.6,1.8,-2.2
437,Mason Plumlee,C,31,CHO,51,51,25.5,2.9,4.6,0.631,0,0,0,2.9,4.6,0.637,0.631,0.9,2.3,0.379,2.6,5.4,8,3.1,0.9,0.6,1.4,3.1,6.7,-0.1
438,Jakob Poeltl,C,26,SAS,49,48,28.9,5.9,9.6,0.614,0,0,1,5.9,9.6,0.614,0.615,1.2,2.7,0.466,3.9,5.3,9.2,2.8,0.7,1.8,1.6,3,13.1,1.8
439,Aleksej Pokusevski,PF,20,OKC,42,2,16.6,2.3,5.9,0.386,0.7,2.6,0.273,1.5,3.2,0.478,0.447,0.2,0.4,0.563,1,3.4,4.3,1.2,0.5,0.6,1.2,1.2,5.5,-3.3
440,Yves Pons,SF,22,MEM,7,0,3.1,0.1,0.4,0.333,0.1,0.1,1,0,0.3,0,0.5,0,0.3,0,0.3,0.4,0.7,0,0,0,0,0.3,0.4,-6.7
441,Jordan Poole,SG,22,GSW,53,35,28.8,5.6,12.7,0.438,2.3,6.9,0.338,3.2,5.8,0.559,0.53,2.9,3.1,0.922,0.5,2.7,3.1,3.5,0.8,0.3,2.3,2.6,16.4,-0.4
442,Kevin Porter Jr.,PG,21,HOU,39,39,30.1,4.7,11.8,0.399,2.3,6,0.38,2.4,5.8,0.419,0.496,2,3.3,0.606,0.7,3.2,3.9,6.2,1.2,0.3,3.5,2.5,13.7,-3
443,Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3,6.1,0.491,0.408,0.6,1,0.556,1,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9,-3.4
444,Otto Porter Jr.,PF,28,GSW,48,13,21.5,3.2,6.7,0.474,1.5,3.7,0.391,1.7,3,0.577,0.583,0.6,0.8,0.757,1,4.2,5.2,1.5,1.1,0.5,0.5,1.4,8.4,3.9
445,Bobby Portis,C,26,MIL,51,46,28.8,6,12.5,0.482,1.9,4.7,0.402,4.1,7.8,0.53,0.558,1.4,1.8,0.755,2.6,6.5,9.1,1.3,0.8,0.8,1.5,2.6,15.3,0.3
446,Kristaps Porziņģis,PF,26,DAL,34,34,29.5,6.7,14.9,0.451,1.4,5.1,0.283,5.3,9.9,0.537,0.499,4.3,5,0.865,1.9,5.8,7.7,2,0.7,1.7,1.6,2.6,19.2,3.2
447,Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,0.455,0,0.7,0,1.7,3,0.556,0.455,0.7,0.7,1,1.3,1.7,3,0,0.3,0.3,0.3,1.3,4,-7.3
448,Dwight Powell,C,30,DAL,59,48,20.6,2.8,4.3,0.649,0.2,0.5,0.387,2.6,3.7,0.686,0.673,1.6,2.2,0.744,2,2.4,4.4,1.1,0.5,0.4,0.8,2.5,7.4,0.5
449,Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1,0.364,0.324,0.2,0.2,1,0.1,0.5,0.5,0.3,0.1,0,0.3,0.7,1.2,-12.7
450,Norman Powell,SF-SG,28,TOT,43,41,32.9,6.2,13.6,0.457,2.3,5.7,0.407,3.9,7.9,0.493,0.542,4.1,5.1,0.807,0.5,2.8,3.3,2.2,1,0.4,1.6,2.3,18.8,-0.4
451,Joshua Primo,SG,19,SAS,30,4,15.9,1.7,4.7,0.369,0.8,2.5,0.32,0.9,2.2,0.424,0.454,0.6,0.8,0.76,0.6,1.1,1.7,1.4,0.4,0.5,0.9,1.2,4.9,-4.2
452,Taurean Prince,PF,27,MIN,47,8,15.3,2,4.5,0.455,1.1,2.7,0.391,1,1.8,0.554,0.573,0.6,0.8,0.757,0.4,2,2.3,0.9,0.6,0.3,0.7,1.4,5.7,-1.4
453,Payton Pritchard,SG,24,BOS,49,2,12.3,1.7,4.5,0.378,1,2.7,0.361,0.7,1.8,0.404,0.486,0.3,0.3,1,0.3,1.3,1.6,1.7,0.2,0.1,0.7,0.9,4.7,-2.1
454,Trevelin Queen,SG,24,HOU,8,0,8.6,1.6,3.6,0.448,1,2.8,0.364,0.6,0.9,0.714,0.586,0.4,0.4,1,0.6,1.1,1.8,0.4,0.6,0,0.9,0.8,4.6,-0.5
455,Neemias Queta,C,22,SAC,10,0,5.6,0.9,2.3,0.391,0,0,,0.9,2.3,0.391,0.391,0.3,0.5,0.6,1.1,0.8,1.9,0.4,0.1,0.4,0.4,1.1,2.1,-6.4
456,Immanuel Quickley,PG,22,NYK,55,2,21.3,3.1,8.5,0.368,1.6,4.9,0.328,1.5,3.6,0.421,0.462,1.5,1.7,0.914,0.4,1.9,2.3,3,0.6,0.1,1.3,2.2,9.4,-2.5
457,Jahmi'us Ramsey,SG,20,SAC,19,0,7.1,1.3,3.1,0.414,0.3,0.9,0.278,1,2.1,0.475,0.457,0.4,0.7,0.5,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2,-6.9
458,Julius Randle,PF,27,NYK,57,57,35.7,7.1,16.9,0.421,1.6,5.3,0.306,5.5,11.6,0.474,0.469,3.9,5.2,0.765,1.8,8.4,10.2,5.2,0.8,0.6,3.5,2.8,19.8,0.6
459,Austin Reaves,SG,23,LAL,39,0,21.3,2.1,4.3,0.488,0.8,2.4,0.326,1.3,1.9,0.699,0.58,1.2,1.4,0.821,0.6,2.1,2.6,1.3,0.3,0.3,0.5,1.4,6.2,-2.4
460,Cam Reddish,SF,22,TOT,43,7,21,3.5,8.8,0.395,1.4,3.9,0.361,2,4.8,0.423,0.476,2.1,2.3,0.911,0.5,1.7,2.1,1,1,0.3,1.2,1.1,10.5,-1.7
461,Davon Reed,SG,26,DEN,29,3,13.8,1.6,3.3,0.474,0.8,1.8,0.434,0.8,1.4,0.524,0.595,0.1,0.2,0.8,0.3,2.2,2.5,1,0.6,0.1,0.3,1.4,4,0
462,Paul Reed,C,22,PHI,24,2,9.5,1.1,2.5,0.45,0,0.2,0,1.1,2.3,0.482,0.45,0.2,0.4,0.4,1.3,1.4,2.7,0.4,0.8,0.5,0.3,1.5,2.4,-2
463,Naz Reid,C,22,MIN,56,5,15.9,2.9,6.3,0.469,0.8,2.1,0.35,2.2,4.1,0.53,0.528,1.5,2,0.739,1.4,2.5,3.9,0.9,0.4,1,1,2.1,8.1,-0.3
